"time","outlook","currentValue","bestBid","bestOffer","buySideLiquidity","sellSideLiquitity","buySideDepth","sellSideDepth","buySideDepthNearTop","sellSideDepthNearTop","midPrice","lastTradedPrice"
"0","Stable","2000","1500","2500","500","500","500","500","500","500","2000","0"
"1","Stable","2374","1500","2500","500","500","500","500","500","500","2000","0"
"2","Rising","2736","1520","2500","533","1072","0","500","0","1072","2010","1510"
"3","CrossedFalling","3071","2500","2500","2089","4460","1556","500","1556","4460","2500","1510"
"4","Rising","3369","398","2736","440","2492","440","1920","440","2492","1567","398"
"5","CrossedFalling","3618","2736","2736","2118","5462","1678","1920","1678","5462","2736","398"
"6","CrossedFalling","3809","0","0","0","0","0","0","0","0","0","2060"
"7","CrossedFalling","3937","3809","0","0","0","0","0","0","0","1904","1904"
"8","CrossedFalling","3996","3937","0","0","0","0","0","0","0","1968","3873"
"9","CrossedStable","3984","3996","0","0","0","0","0","0","0","1998","3966"
"10","CrossedRising","3902","3996","3996","4587","528","0","528","0","528","3996","3966"
"11","Stable","3752","0","3902","0","650","0","122","0","650","1951","3949"
"12","CrossedFalling","3541","0","0","1864","3582","1864","2880","1864","3582","0","3949"
"13","Stable","3274","0","3902","1864","702","1864","122","1864","702","1951","3541"
"14","Rising","2963","20","133","4306","1282","2442","228","2442","1282","76","133"
"15","CrossedFalling","2618","133","133","4946","1388","640","228","3082","1388","133","133"
"16","CrossedFalling","2250","0","0","0","0","0","0","0","0","0","2060"
"17","CrossedStable","1874","2250","0","0","0","0","0","0","0","1125","1125"
"18","CrossedRising","1502","2250","2250","4917","562","0","562","0","562","2250","1125"
"19","Stable","1148","0","1502","0","684","0","122","0","684","751","1876"
"20","CrossedFalling","824","0","0","1614","3592","1614","2880","1614","3592","0","1876"
"21","Stable","542","0","1502","1614","712","1614","122","1614","712","751","824"
"22","Stable","311","20","1502","7030","1202","5416","122","5416","1202","761","824"
"23","Stable","140","40","1502","11934","1646","4904","122","10320","1646","771","824"
"24","CrossedStable","35","1478","0","15170","0","2210","0","2210","0","739","1502"
"25","CrossedRising","0","0","0","0","0","0","0","0","0","0","102"
"26","CrossedFalling","35","0","0","598","555","598","555","598","555","0","102"
"27","Rising","140","0","133","598","278","598","278","598","278","66","55"
"28","CrossedFalling","311","133","133","5482","1055","4884","278","4884","1055","133","133"
"29","Rising","542","133","140","3040","490","2442","490","2442","490","136","133"
"30","CrossedFalling","824","140","140","7484","1196","4444","490","6886","1196","140","133"
"31","CrossedFalling","1148","140","0","3040","0","0","0","2442","0","70","130"
"32","CrossedFalling","1502","1148","0","3040","0","0","0","2442","0","574","644"
"33","CrossedFalling","1874","0","0","0","0","0","0","0","0","0","2060"
"34","CrossedFalling","2000","1874","0","0","0","0","0","0","0","937","937"
"35","CrossedFalling","2374","2000","0","0","0","0","0","0","0","1000","1937"
"36","CrossedFalling","2736","2374","0","0","0","0","0","0","0","1187","2187"
"37","CrossedFalling","3071","2736","0","0","0","0","0","0","0","1368","2374"
"38","CrossedFalling","3369","3071","0","5996","0","5996","0","5996","0","1535","2736"
"39","CrossedFalling","3618","3071","0","5996","0","5996","0","5996","0","1535","1571"
"40","CrossedFalling","3809","3071","0","5996","0","5996","0","5996","0","1535","1563"
"41","CrossedFalling","3937","3809","0","5996","0","0","0","0","0","1904","3440"
"42","CrossedFalling","3996","3937","0","5996","0","0","0","0","0","1968","3809"
"43","CrossedStable","3984","3996","0","5996","0","0","0","0","0","1998","3966"
"44","CrossedRising","3902","3996","3996","10583","528","0","528","5996","528","3996","3966"
"45","CrossedRising","3752","3996","3996","15366","456","4783","456","10779","456","3996","3996"
"46","CrossedRising","3541","3996","3996","19802","456","9219","456","15215","456","3996","3874"
"47","CrossedRising","3274","3996","3996","24238","456","13655","456","19651","456","3996","3768"
"48","CrossedRising","2963","3996","3996","24674","456","14091","456","20087","456","3996","3635"
"49","CrossedRising","2618","3996","3996","25110","456","14527","456","20523","456","3996","3479"
"50","CrossedRising","2250","3996","3996","25546","456","14963","456","20959","456","3996","3307"
"51","CrossedRising","1874","3996","3996","25982","456","15399","456","21395","456","3996","3123"
"52","CrossedRising","1502","3996","3996","30418","456","19835","456","25831","456","3996","2935"
"53","CrossedRising","1148","3996","3996","34854","456","24271","456","30267","456","3996","2749"
