"time","type","buySideTrader","sellSideTrader","size","price","penalty"
"0","Offer","intermediary","","26","1500",""
"0","Offer","intermediary","","26","1500",""
"0","Offer","intermediary","","26","1500",""
"0","Offer","hfTrader","","139","1500",""
"0","Offer","hfTrader","","139","1500",""
"0","Offer","hfTrader","","139","1500",""
"0","Offer","fundamentalBuyer","","200","37500",""
"0","Offer","fundamentalBuyer","","200","37500",""
"0","Offer","fundamentalSeller","","98","37500",""
"0","Offer","fundamentalSeller","","98","37500",""
"0","Bid","opportunisticTrader","","0","1520",""
"0","Bid","opportunisticTrader","","0","1520",""
"0","Bid","opportunisticTrader","","0","1520",""
"0","Bid","opportunisticTrader","","0","1520",""
"0","Bid","smallTrader","","0","1520",""
"0","Bid","smallTrader","","0","1520",""
"0","Bid","smallTrader","","0","1520",""
"0","Bid","smallTrader","","0","1520",""
"0","Penalty","intermediary","","","","0"
"0","Penalty","intermediary","","","","0"
"0","Penalty","intermediary","","","","0"
"0","Penalty","hfTrader","","","","0"
"0","Penalty","hfTrader","","","","0"
"0","Penalty","hfTrader","","","","0"
"0","Penalty","fundamentalBuyer","","","","0"
"0","Penalty","fundamentalBuyer","","","","0"
"0","Penalty","fundamentalSeller","","","","0"
"0","Penalty","fundamentalSeller","","","","0"
"0","Penalty","opportunisticTrader","","","","0"
"0","Penalty","opportunisticTrader","","","","0"
"0","Penalty","opportunisticTrader","","","","0"
"0","Penalty","opportunisticTrader","","","","0"
"0","Penalty","smallTrader","","","","0"
"0","Penalty","smallTrader","","","","0"
"0","Penalty","smallTrader","","","","0"
"0","Penalty","smallTrader","","","","0""1","Bid","intermediary","","11","1500",""
"1","Bid","intermediary","","11","1500",""
"1","Bid","intermediary","","11","1500",""
"1","Offer","hfTrader","","24","1500",""
"1","Offer","hfTrader","","24","1500",""
"1","Offer","hfTrader","","24","1500",""
"1","Offer","fundamentalBuyer","","200","37500",""
"1","Offer","fundamentalBuyer","","200","37500",""
"1","Offer","fundamentalSeller","","86","37500",""
"1","Offer","fundamentalSeller","","86","37500",""
"1","Bid","opportunisticTrader","","0","1520",""
"1","Bid","opportunisticTrader","","0","1520",""
"1","Bid","opportunisticTrader","","0","1520",""
"1","Bid","opportunisticTrader","","0","1520",""
"1","Bid","smallTrader","","0","1520",""
"1","Bid","smallTrader","","0","1520",""
"1","Bid","smallTrader","","0","1520",""
"1","Bid","smallTrader","","0","1520",""
"1","Trade","opportunisticTrader","hfTrader","0","1510",""
"1","Penalty","opportunisticTrader","","","","1"
"1","Penalty","opportunisticTrader","","","","1"
"1","Penalty","opportunisticTrader","","","","1"
"1","Trade","smallTrader","hfTrader","0","1510",""
"1","Trade","opportunisticTrader","hfTrader","0","1510",""
"1","Penalty","smallTrader","","","","1"
"1","Penalty","smallTrader","","","","1"
"1","Penalty","smallTrader","","","","1""2","Bid","intermediary","","440","2736",""
"2","Bid","intermediary","","440","2736",""
"2","Bid","intermediary","","440","2736",""
"2","Offer","hfTrader","","960","1500",""
"2","Offer","hfTrader","","960","1500",""
"2","Offer","hfTrader","","960","1500",""
"2","Offer","fundamentalBuyer","","90","1500",""
"2","Offer","fundamentalBuyer","","90","1500",""
"2","Offer","fundamentalSeller","","21","1500",""
"2","Offer","fundamentalSeller","","21","1500",""
"2","Bid","opportunisticTrader","","26","2736",""
"2","Bid","opportunisticTrader","","26","2736",""
"2","Bid","opportunisticTrader","","26","2736",""
"2","Bid","opportunisticTrader","","26","2736",""
"2","Sell","smallTrader","","50","",""
"2","Sell","smallTrader","","50","",""
"2","Sell","smallTrader","","50","",""
"2","Sell","smallTrader","","50","",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"2","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"2","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"2","Trade","intermediary","hfTrader","440","2118",""
"2","Trade","intermediary","fundamentalSeller-1","440","2618",""
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Penalty","smallTrader","","","","2"
"2","Penalty","smallTrader","","","","2"
"2","Penalty","smallTrader","","","","2""3","Bid","intermediary","","440","3071",""
"3","Bid","intermediary","","440","3071",""
