"time","outlook","currentValue","bestBid","bestOffer","buySideLiquidity","sellSideLiquitity","buySideDepth","sellSideDepth","buySideDepthNearTop","sellSideDepthNearTop","midPrice","lastTradedPrice"
"0","Stable","2000","1500","2500","500","500","500","500","500","500","2000","0"
"1","Stable","2075","1500","2500","500","500","500","500","500","500","2000","0"
"2","CrossedFalling","2150","1500","1500","533","1096","533","24","533","1096","1500","1510"
"3","CrossedFalling","2225","1500","1500","533","2032","533","960","533","2032","1500","1825"
"4","Stable","2300","1500","2500","591","1072","533","500","533","1072","2000","2225"
"5","Stable","2374","416","2500","440","1072","440","500","440","1072","1458","416"
"6","Stable","2448","416","2500","1773","1168","1760","500","1760","1168","1458","436"
"7","CrossedFalling","2521","416","416","1773","1801","1760","1","1760","1801","416","426"
"8","Stable","2594","2521","37500","1793","1300","20","572","1780","1300","20010","1468"
"9","CrossedFalling","2665","0","0","0","0","0","0","0","0","0","2521"
"10","CrossedFalling","2736","2665","0","0","0","0","0","0","0","1332","1332"
"11","CrossedFalling","2805","2736","0","0","0","0","0","0","0","1368","2700"
"12","CrossedFalling","2874","2805","0","0","0","0","0","0","0","1402","2770"
"13","CrossedFalling","2941","2874","0","0","0","0","0","0","0","1437","2839"
"14","CrossedFalling","3007","2941","0","0","0","0","0","0","0","1470","2907"
"15","CrossedFalling","3071","3007","0","0","0","0","0","0","0","1503","2974"
"16","CrossedFalling","3134","3071","0","0","0","0","0","0","0","1535","3039"
"17","CrossedFalling","3195","3134","0","0","0","0","0","0","0","1567","3102"
"18","CrossedFalling","3255","3195","0","0","0","0","0","0","0","1597","3164"
"19","CrossedFalling","3313","3255","0","0","0","0","0","0","0","1627","3225"
"20","CrossedFalling","3369","3313","0","0","0","0","0","0","0","1656","3284"
"21","CrossedFalling","3423","3369","0","0","0","0","0","0","0","1684","3341"
"22","CrossedFalling","3475","3423","0","0","0","0","0","0","0","1711","3396"
"23","CrossedFalling","3524","3475","0","0","0","0","0","0","0","1737","3449"
"24","CrossedFalling","3572","3524","0","0","0","0","0","0","0","1762","3499"
"25","CrossedFalling","3618","3572","0","0","0","0","0","0","0","1786","3548"
"26","CrossedFalling","3661","3618","0","0","0","0","0","0","0","1809","3595"
"27","CrossedFalling","3701","3661","0","0","0","0","0","0","0","1830","3639"
"28","CrossedFalling","3740","3701","0","0","0","0","0","0","0","1850","3681"
"29","CrossedFalling","3776","3740","0","0","0","0","0","0","0","1870","3720"
"30","CrossedFalling","3809","3776","0","0","0","0","0","0","0","1888","3758"
"31","CrossedFalling","3840","3809","0","0","0","0","0","0","0","1904","3792"
"32","CrossedFalling","3868","3840","0","0","0","0","0","0","0","1920","3824"
"33","CrossedFalling","3894","3840","3840","0","2697","0","2697","0","2697","3840","3854"
"34","CrossedFalling","3917","3840","3840","0","2880","0","2880","0","2880","3840","3867"
"35","CrossedFalling","3937","3917","0","58","0","58","0","58","0","1958","3878"
"36","CrossedFalling","3954","3917","3917","58","36","58","36","58","36","3917","3927"
"37","CrossedFalling","3969","3917","3917","58","272","58","272","58","272","3917","3935"
"38","CrossedFalling","3980","3917","3917","58","12","58","12","58","12","3917","3943"
"39","CrossedFalling","3989","3917","3917","58","4644","58","4644","58","4644","3917","3948"
"40","CrossedFalling","3996","3917","3917","58","7350","58","7350","58","7350","3917","3953"
"41","CrossedFalling","3999","3917","3917","58","4412","58","4412","58","4412","3917","3956"
"42","CrossedFalling","3999","3917","3917","58","12","58","12","58","12","3917","3958"
"43","CrossedFalling","3997","3917","3917","58","4644","58","4644","58","4644","3917","3958"
"44","CrossedFalling","3992","3917","3917","58","4412","58","4412","58","4412","3917","3957"
"45","CrossedFalling","3984","3917","3917","58","12","58","12","58","12","3917","3954"
"46","CrossedFalling","3973","3917","3917","58","4644","58","4644","58","4644","3917","3950"
"47","CrossedFalling","3959","3917","3917","58","4412","58","4412","58","4412","3917","3945"
"48","CrossedFalling","3943","3917","3917","58","3092","58","3092","58","3092","3917","3938"
"49","CrossedFalling","3924","3917","3917","58","12","58","12","58","12","3917","3930"
"50","CrossedRising","3902","3917","3917","58","244","58","244","58","244","3917","3920"
"51","Stable","3877","0","3902","0","2684","0","2440","0","2684","1951","3909"
"52","CrossedFalling","3850","0","0","564","5618","564","2880","564","5618","0","3909"
"53","CrossedFalling","3820","0","0","564","4658","564","1920","564","4658","0","1925"
"54","CrossedFalling","3787","0","0","564","3698","564","960","564","3698","0","1910"
"55","Stable","3752","0","3902","564","2738","564","2440","564","2738","1951","1893"
"56","Stable","3715","20","3902","634","8114","70","2440","70","8114","1961","10"
"57","Stable","3675","40","3902","698","12980","64","2440","134","12980","1971","30"
"58","CrossedFalling","3632","60","0","1712","0","1712","0","1712","0","30","1361"
"59","CrossedFalling","3587","60","60","1712","824","1712","824","1712","824","60","1846"
"60","CrossedFalling","3541","60","60","1712","5884","1712","5884","1712","5884","60","1823"
"61","CrossedFalling","3491","60","60","1712","5819","1712","5819","1712","5819","60","1800"
"62","CrossedFalling","3440","60","60","1712","5754","1712","5754","1712","5754","60","1775"
"63","CrossedFalling","3387","60","60","1712","5689","1712","5689","1712","5689","60","1750"
"64","CrossedFalling","3332","60","60","1712","5624","1712","5624","1712","5624","60","1723"
"65","CrossedFalling","3274","60","60","1712","3413","1712","3413","1712","3413","60","1696"
"66","CrossedFalling","3215","60","60","1712","1202","1712","1202","1712","1202","60","1667"
"67","CrossedFalling","3155","60","60","1712","1437","1712","1437","1712","1437","60","1637"
"68","CrossedFalling","3092","60","60","1712","1672","1712","1672","1712","1672","60","1607"
"69","CrossedFalling","3028","60","60","1712","1907","1712","1907","1712","1907","60","1576"
"70","CrossedFalling","2963","60","60","1712","1849","1712","1849","1712","1849","60","1544"
"71","CrossedFalling","2896","60","60","1712","1791","1712","1791","1712","1791","60","1511"
"72","CrossedFalling","2828","60","60","1712","1733","1712","1733","1712","1733","60","1478"
"73","CrossedFalling","2759","60","60","1712","1675","1712","1675","1712","1675","60","1444"
"74","CrossedFalling","2689","60","60","1712","1910","1712","1910","1712","1910","60","1409"
"75","CrossedFalling","2618","60","60","1712","1852","1712","1852","1712","1852","60","1374"
"76","CrossedFalling","2545","60","60","1712","1794","1712","1794","1712","1794","60","1339"
"77","CrossedFalling","2472","60","60","1712","1736","1712","1736","1712","1736","60","1302"
"78","CrossedFalling","2399","60","60","1712","1678","1712","1678","1712","1678","60","1266"
"79","CrossedFalling","2325","60","60","1712","1913","1712","1913","1712","1913","60","1229"
"80","CrossedFalling","2250","60","60","1712","1855","1712","1855","1712","1855","60","1192"
"81","CrossedFalling","2175","60","60","1712","1797","1712","1797","1712","1797","60","1155"
"82","CrossedFalling","2100","60","60","1712","1739","1712","1739","1712","1739","60","1117"
"83","CrossedFalling","2025","60","60","1712","1681","1712","1681","1712","1681","60","1080"
"84","CrossedFalling","1949","60","60","1712","1916","1712","1916","1712","1916","60","1042"
"85","CrossedFalling","1874","60","60","1712","1858","1712","1858","1712","1858","60","1004"
