"time","outlook","currentValue","bestBid","bestOffer","buySideLiquidity","sellSideLiquitity","buySideDepth","sellSideDepth","buySideDepthNearTop","sellSideDepthNearTop","midPrice","lastTradedPrice"
"0","Stable","2000","1500","2500","500","500","500","500","500","500","2000","0"
"1","Stable","2075","1500","2500","500","500","500","500","500","500","2000","0"
"2","Stable","2150","1520","2500","533","1072","0","500","0","1072","2010","1510"
"3","CrossedFalling","2225","1520","1520","2089","4460","1556","2880","1556","4460","1520","1520"
"4","Stable","2300","1520","2500","2089","1580","1556","500","1556","1580","2010","2225"
"5","Stable","2374","398","2500","1590","1580","500","500","1380","1580","1449","398"
"6","Stable","2448","398","2500","2923","1672","1820","500","2910","1672","1449","418"
"7","Rising","2521","418","2500","6923","2304","4000","500","6910","2304","1459","418"
"8","CrossedFalling","2594","2500","2500","11345","3008","4422","500","11332","3008","2500","418"
"9","CrossedFalling","2665","0","0","0","0","0","0","0","0","0","2060"
"10","CrossedFalling","2736","2665","0","0","0","0","0","0","0","1332","1332"
"11","CrossedFalling","2805","2736","0","0","0","0","0","0","0","1368","2700"
"12","CrossedFalling","2874","2805","0","0","0","0","0","0","0","1402","2770"
"13","CrossedFalling","2941","2874","0","0","0","0","0","0","0","1437","2839"
"14","CrossedFalling","3007","2941","0","0","0","0","0","0","0","1470","2907"
"15","CrossedFalling","3071","3007","0","0","0","0","0","0","0","1503","2974"
"16","CrossedFalling","3134","3071","0","0","0","0","0","0","0","1535","3039"
"17","CrossedFalling","3195","3134","0","0","0","0","0","0","0","1567","3102"
"18","CrossedFalling","3255","3195","0","0","0","0","0","0","0","1597","3164"
"19","CrossedFalling","3313","3255","0","0","0","0","0","0","0","1627","3225"
"20","CrossedFalling","3369","3313","0","0","0","0","0","0","0","1656","3284"
"21","CrossedFalling","3423","3369","0","0","0","0","0","0","0","1684","3341"
"22","CrossedFalling","3475","3423","0","0","0","0","0","0","0","1711","3396"
"23","CrossedFalling","3524","3475","0","0","0","0","0","0","0","1737","3449"
"24","CrossedFalling","3572","3524","0","0","0","0","0","0","0","1762","3499"
"25","CrossedFalling","3618","3572","0","0","0","0","0","0","0","1786","3548"
"26","CrossedFalling","3661","3618","0","0","0","0","0","0","0","1809","3595"
"27","CrossedFalling","3701","3661","0","0","0","0","0","0","0","1830","3639"
"28","CrossedFalling","3740","3701","0","0","0","0","0","0","0","1850","3681"
"29","CrossedFalling","3776","3740","0","0","0","0","0","0","0","1870","3720"
"30","CrossedFalling","3809","3776","0","0","0","0","0","0","0","1888","3758"
"31","CrossedFalling","3840","3809","0","0","0","0","0","0","0","1904","3792"
"32","CrossedFalling","3868","3840","0","0","0","0","0","0","0","1920","3824"
"33","CrossedFalling","3894","3868","0","0","0","0","0","0","0","1934","3854"
"34","CrossedFalling","3917","3894","0","0","0","0","0","0","0","1947","3881"
"35","CrossedFalling","3937","3917","0","0","0","0","0","0","0","1958","3905"
"36","CrossedFalling","3954","3937","0","0","0","0","0","0","0","1968","3927"
"37","CrossedFalling","3969","3954","0","0","0","0","0","0","0","1977","3945"
"38","CrossedFalling","3980","3969","0","0","0","0","0","0","0","1984","3961"
"39","CrossedFalling","3989","3980","0","0","0","0","0","0","0","1990","3974"
"40","CrossedFalling","3996","3989","0","0","0","0","0","0","0","1994","3984"
"41","CrossedFalling","3999","3996","0","0","0","0","0","0","0","1998","3992"
"42","CrossedStable","3999","3999","0","0","0","0","0","0","0","1999","3997"
"43","CrossedRising","3997","3999","3999","33","4944","0","4944","0","4944","3999","3997"
"44","Stable","3992","0","3997","0","5083","0","139","0","5083","1998","3998"
"45","CrossedFalling","3984","0","0","1888","8019","1888","2880","1888","8019","0","3998"
"46","CrossedFalling","3973","0","0","1888","8019","1888","2880","1888","8019","0","1992"
"47","Stable","3959","0","3997","1888","5139","1888","139","1888","5139","1998","3973"
"48","Stable","3943","0","3997","3208","10515","3208","139","3208","10515","1998","20"
"49","Stable","3924","0","3997","4528","10959","4528","139","4528","10959","1998","58"
"50","Stable","3902","0","3997","5848","15825","5848","139","5848","15825","1998","20"
"51","Stable","3877","0","3997","7168","16269","7168","139","7168","16269","1998","58"
"52","Stable","3850","0","3997","8488","16713","8488","139","8488","16713","1998","58"
"53","Stable","3820","0","3997","9808","17157","9808","139","9808","17157","1998","58"
"54","Stable","3787","0","3997","11128","17601","11128","139","11128","17601","1998","58"
"55","Stable","3752","0","3997","12448","18045","12448","139","12448","18045","1998","58"
"56","Stable","3715","0","3997","13768","22911","13768","139","13768","22911","1998","20"
"57","Stable","3675","0","3997","15088","27777","15088","139","15088","27777","1998","20"
"58","Stable","3632","0","3997","16408","28221","16408","139","16408","28221","1998","58"
"59","Stable","3587","0","3997","17728","33087","17728","139","17728","33087","1998","20"
"60","Stable","3541","0","3997","19048","37953","19048","139","19048","37953","1998","20"
"61","Stable","3491","0","3997","20368","38397","20368","139","20368","38397","1998","58"
"62","Stable","3440","0","3997","21688","38841","21688","139","21688","38841","1998","58"
"63","Stable","3387","0","3997","23008","39285","23008","139","23008","39285","1998","58"
"64","Stable","3332","0","3997","24328","39729","24328","139","24328","39729","1998","58"
"65","Stable","3274","0","3997","25648","40173","25648","139","25648","40173","1998","58"
"66","Stable","3215","0","3997","26968","40617","26968","139","26968","40617","1998","58"
"67","Stable","3155","0","3997","28288","41061","28288","139","28288","41061","1998","58"
"68","Stable","3092","0","3997","29608","41505","29608","139","29608","41505","1998","58"
"69","Stable","3028","0","3997","30928","41949","30928","139","30928","41949","1998","58"
"70","Stable","2963","0","3997","32248","42393","32248","139","32248","42393","1998","58"
"71","Stable","2896","0","3997","33568","42837","33568","139","33568","42837","1998","58"
"72","Stable","2828","0","3997","34888","43281","34888","139","34888","43281","1998","58"
"73","Stable","2759","0","3997","36208","43725","36208","139","36208","43725","1998","58"
"74","Stable","2689","0","3997","37528","44169","37528","139","37528","44169","1998","58"
"75","Stable","2618","0","3997","38848","44613","38848","139","38848","44613","1998","58"
"76","Stable","2545","0","3997","40168","45057","40168","139","40168","45057","1998","58"
"77","Stable","2472","0","3997","41488","45501","41488","139","41488","45501","1998","58"
"78","Stable","2399","0","3997","42808","45945","42808","139","42808","45945","1998","58"
"79","Stable","2325","0","3997","44128","46389","44128","139","44128","46389","1998","58"
"80","Stable","2250","0","3997","45448","46833","45448","139","45448","46833","1998","58"
"81","Stable","2175","0","3997","46768","47277","46768","139","46768","47277","1998","58"
"82","Stable","2100","0","3997","48088","47721","48088","139","48088","47721","1998","58"
"83","Rising","2025","0","121","48088","48353","48088","139","48088","48353","60","121"
"84","CrossedFalling","1949","121","121","49444","51297","1356","139","1356","51297","121","121"
"85","Stable","1874","121","2025","49508","51158","1356","2944","1420","51158","1073","1949"
"86","Stable","1799","420","2025","440","51126","440","2912","440","51126","1222","420"
"87","Stable","1724","0","2025","0","51094","0","2880","0","51094","1012","2042"
"88","CrossedFalling","1649","0","0","1348","54030","1348","2880","1348","54030","0","2042"
